ds,population,y
1961-01-01,3068370688.0,9418.46
1962-01-01,3126686720.0,9751.06
1963-01-01,3195779328.0,10271.655
1964-01-01,3267212288.0,10829.612
1965-01-01,3337112064.0,11317.596
1966-01-01,3406416896.0,11866.934
1967-01-01,3475448064.0,12244.029
1968-01-01,3546810880.0,12910.892
1969-01-01,3620655360.0,13767.398
1970-01-01,3695390208.0,14898.716
1971-01-01,3770163200.0,15505.496
1972-01-01,3844800768.0,16228.729
1973-01-01,3920251392.0,17086.193
1974-01-01,3995516928.0,17017.477
1975-01-01,4069437184.0,17054.627
1976-01-01,4142505728.0,17991.887
1977-01-01,4215772416.0,18502.846
1978-01-01,4289657600.0,19077.193
1979-01-01,4365582848.0,19618.463
1980-01-01,4444007936.0,19501.264
1981-01-01,4524627456.0,19036.117
1982-01-01,4607984640.0,18884.486
1983-01-01,4691884032.0,19006.539
1984-01-01,4775836160.0,19664.754
1985-01-01,4861730816.0,20325.486
1986-01-01,4950063104.0,20627.359
1987-01-01,5040984576.0,21273.904
1988-01-01,5132294144.0,22107.795
1989-01-01,5223704064.0,22410.402
1990-01-01,5316175872.0,22757.48
1991-01-01,5406245888.0,23244.807
1992-01-01,5492686336.0,22580.023
1993-01-01,5577433600.0,22812.9
1994-01-01,5660727808.0,22969.498
1995-01-01,5743219712.0,23458.713
1996-01-01,5825145344.0,24159.383
1997-01-01,5906481152.0,24302.584
1998-01-01,5987312640.0,24213.26
1999-01-01,6067758592.0,24732.389
2000-01-01,6148898816.0,25453.623
2001-01-01,6230747136.0,25668.049
2002-01-01,6312407552.0,26281.037
2003-01-01,6393898496.0,27651.596
2004-01-01,6475751424.0,28636.695
2005-01-01,6558176256.0,29614.602
2006-01-01,6641416192.0,30593.117
2007-01-01,6725948416.0,31506.789
2008-01-01,6811597312.0,32085.836
2009-01-01,6898306048.0,31564.031
2010-01-01,6985603072.0,33364.348
2011-01-01,7073125376.0,34487.012
2012-01-01,7161697792.0,35006.27
2013-01-01,7250593280.0,35319.203
2014-01-01,7339013632.0,35577.535
2015-01-01,7426597376.0,35558.566
2016-01-01,7513474048.0,35524.191
2017-01-01,7599822336.0,36096.738
2018-01-01,7683789824.0,36826.508
2019-01-01,7764951040.0,37082.559
2020-01-01,7840952832.0,35264.086
2021-01-01,7909295104.0,37123.852
