Area Code (FAO),Year,Value
2,1961,-0.121
2,1962,-0.171
2,1963,0.841
2,1964,-0.779
2,1965,-0.254
2,1966,0.172
2,1967,-0.374
2,1968,-0.375
2,1969,-0.49
2,1970,0.852
2,1971,0.621
2,1972,-1.135
2,1973,0.214
2,1974,-0.508
2,1975,-0.452
2,1976,-0.261
2,1977,0.57
2,1978,0.16
2,1979,0.386
2,1980,0.624
2,1981,0.502
2,1982,-0.302
2,1983,0.178
2,1984,0.144
2,1985,0.305
2,1986,-0.09
2,1987,0.44
2,1988,0.958
2,1989,-0.203
2,1990,0.796
2,1991,-0.133
2,1992,-0.297
2,1993,0.223
2,1994,0.459
2,1995,0.401
2,1996,-0.064
2,1997,0.409
2,1998,0.585
2,1999,1.192
2,2000,1.039
2,2001,1.355
2,2002,1.361
2,2003,0.632
2,2004,1.37
2,2005,0.477
2,2006,1.754
2,2007,0.745
2,2008,0.798
2,2009,0.982
2,2010,1.695
2,2011,1.463
2,2012,0.283
2,2013,1.325
2,2014,0.536
2,2015,1.166
2,2016,1.581
2,2017,1.626
2,2018,1.682
2,2019,1.125
2,2020,0.652
3,1961,0.639
3,1962,0.345
3,1963,0.078
3,1964,-0.166
3,1965,-0.388
3,1966,0.553
3,1967,-0.082
3,1968,0.073
3,1969,-0.024
3,1970,-0.127
3,1971,-0.223
3,1972,-0.097
3,1973,-0.304
3,1974,-0.138
3,1975,-0.209
3,1976,-0.688
3,1977,0.543
3,1978,-0.795
3,1979,0.25
3,1980,-0.376
3,1981,-0.312
3,1982,0.236
3,1983,-0.059
3,1984,-0.21
3,1985,-0.041
3,1986,0.63
3,1987,-0.048
3,1988,0.431
3,1989,-0.004
3,1990,0.82
3,1991,-0.245
3,1992,0.116
3,1993,0.124
3,1994,1.374
3,1995,-0.127
3,1996,0.014
3,1997,0.117
3,1998,0.838
3,1999,0.718
3,2000,1.12
3,2001,1.573
3,2002,0.533
3,2003,1.016
3,2004,0.453
3,2005,0.216
3,2006,0.493
3,2007,1.487
3,2008,1.152
3,2009,1.016
3,2010,1.145
3,2011,1.133
3,2012,1.577
3,2013,1.431
3,2014,1.357
3,2015,1.703
3,2016,1.624
3,2017,1.286
3,2018,2.189
3,2019,1.858
3,2020,1.671
4,1961,0.11
4,1962,0.042
4,1963,0.005
4,1964,0.169
4,1965,-0.176
4,1966,0.373
4,1967,-0.02
4,1968,-0.062
4,1969,0.325
4,1970,0.13
4,1971,-0.362
4,1972,-0.324
4,1973,0.004
4,1974,-0.473
